PLANILLA DE ANÁLISIS PT-A — Serious Game TITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== PARTICIPANTES ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,Rol,Pareja,Edad,Semestre,Cursó Ubic.,Exp VR (0-2),Exp Unity (0-2),Autoeval Electrónica (1-5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P01,Explorador,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,Técnico,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,Explorador,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,Técnico,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,Explorador,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,Técnico,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,Explorador,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,Técnico,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,Explorador,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,Técnico,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== M6: PRE-TEST vs POST-TEST (Anexo C / C') ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Código,PRE Q1,PRE Q2,PRE Q3,PRE Q4,PRE Q5,PRE Q6,PRE Q7,PRE Q8,PRE Q9,PRE Q10,TOTAL PRE,POST Q1,POST Q2,POST Q3,POST Q4,POST Q5,POST Q6,POST Q7,POST Q8,POST Q9,POST Q10,TOTAL POST,MEJORA (+/-),,,,,,,,,,,,,,,,,,,,,
P01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DESV. EST.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
